id;EN;ES;PT;FR;DE;IT;RU
codeLineText;Code Line;Línea de Código;Linha de Código;Ligne de Code;Codezeile;Linea di Codice;Строка Кода
errorVariableNotNumber;[Error] Variable cannot be a number;[Error] Una variable no puede ser un número;[Erro] Uma variável não pode ser um número;[Erreur] Une variable ne peut pas être un nombre;[Fehler] Eine Variable kann keine Zahl sein;[Errore] Una variabile non può essere un numero;[Ошибка] Переменная не может быть числом
errorVariableStartsWithNumber;[Error] Variable cannot start with a number;[Error] Una variable no puede empezar con un número;[Erro] Variável não pode começar com um número;[Erreur] La variable ne peut pas commencer par un chiffre;[Fehler] Variable kann nicht mit einer Zahl beginnen;[Errore] Variabile non può iniziare con un numero;[Ошибка] Переменная не может начинаться с числа
errorReservedWords;[Error] You cannot use reserved words as a variable name;[Error] No puedes usar palabras reservadas como nombre de variable;[Erro] Não é possível usar palavras reservadas como nome de variável;[Erreur] Il n'est pas possible d'utiliser des mots réservés comme nom de variable;[Fehler] Es ist nicht möglich, reservierte Wörter als Variablennamen zu verwenden;[Errore] Non è possibile utilizzare parole riservate come nome di variabile;[Ошибка] Невозможно использовать зарезервированные слова в качестве имени переменной
errorVariableWithSpaces;[Error] Variable name cannot contain spaces;[Error] El nombre de la variable no puede contener espacios;[Erro] O nome da variável não pode conter espaços;[Erreur] Le nom de la variable ne peut pas contenir d'espaces;[Fehler] Der Variablenname darf keine Leerzeichen enthalten;[Errore] Il nome della variabile non può contenere spazi;[Ошибка] Имя переменной не может содержать пробелы
errorVariableContainsSymbol;[Error] Variable name cannot contain this symbol;[Error] El nombre de la variable no puede contener este símbolo;[Erro] O nome da variável não pode conter este símbolo;[Erreur] Le nom de la variable ne peut pas contenir ce symbole;[Fehler] Der Variablenname darf dieses Symbol nicht enthalten;[Errore] Il nome della variabile non può contenere questo simbolo;[Ошибка] Имя переменной не может содержать этот символ
varIsNull;[Error]  %var% is null;[Error]  %var% es nulo;[Erro] %var% é nulo;[Erreur] %var% est nul;[Fehler] %var% null ist;[Errore] %var% è nullo;[Ошибка] %var% равно null
varNotExists;[Error]  Variable %var% does not exist;[Error]  La variable %var% no existe;[Erro] A variável %var% não existe;[Erreur] La variable %var% n'existe pas;[Fehler] Die Variable %var% existiert nicht;[Errore] La variabile %var% non esiste;[Ошибка] Переменная %var% не существует
varIsNotNumber;[Error]  %var% is not a number;[Error]  %var% no es un número;[Erro]  %var% não é um número;[Erreur]  %var% n'est pas un nombre;[Fehler]  %var% ist keine Zahl; [Errore]  %var% non è un numero;[Ошибка]  %var% не является числом
varIsNotBoolean;[Error]  %var% is not boolean;[Error]  %var% no es booleano;[Erro]  %var% não é booleano;[Erreur]  %var% n'est pas un booléen;[Fehler]  %var% ist kein Boolescher Wert;[Errore]  %var% non è un booleano;[Ошибка]  %var% не является логическим значением
